timestamp,team1,team1_shape,team1_positions_x,team1_positions_y,team1_player1_name,team1_player2_name,team1_player3_name,team1_player4_name,team1_player5_name,team1_player6_name,team1_player7_name,team1_player8_name,team1_player9_name,team1_player10_name,team1_player11_name,team2,team2_shape,team2_positions_x,team2_positions_y,team2_player1_name,team2_player2_name,team2_player3_name,team2_player4_name,team2_player5_name,team2_player6_name,team2_player7_name,team2_player8_name,team2_player9_name,team2_player10_name,team2_player11_name,result,score
2021-04-06 03:15:00,WOL,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Rui Patrício,Fernando Marçal,Romain Saïss,Conor Coady,Nélson Semedo,Rúben Neves,João Moutinho,Pedro Neto,Daniel Podence,Adama Traoré2,Raúl Jiménez,WHU,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Ryan Fredericks,Declan Rice,Tomás Soucek,Pablo Fornals,Mark Noble,Jarrod Bowen,Michail Antonio,0,2-3
2021-04-10 03:00:00,FUL,3-4-3_L,"[-24, -18, -20, -18, -12, -12, -12, -12, -6, -4, -6]","[0, 8, 0, -8, 9, 3, -3, -9, 8, 0, -8]",Alphonse Areola,Tim Ream,Michael Hector,Joachim Andersen,Joe Bryan,Tom Cairney,André-Frank Zambo Anguissa,Kenny Tete,Bobby De Cordova-Reid,Aleksandar Mitrovic,Ruben Loftus-Cheek,WOL,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Rui Patrício,Fernando Marçal,Romain Saïss,Conor Coady,Nélson Semedo,Rúben Neves,João Moutinho,Pedro Neto,Daniel Podence,Adama Traoré2,Raúl Jiménez,0,0-1
2021-04-10 19:30:00,MNC,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Ederson,João Cancelo,Nathan Aké,John Stones,Benjamin Mendy,Bernardo Silva,Fernandinho,Oleksandr Zinchenko,Raheem Sterling,Gabriel Jesus,Riyad Mahrez,LEE,4-1-4-1_R,"[24, 19, 21, 21, 19, 15, -7, 9, 9, 7, 3]","[0, -9, -3, 3, 9, 0, -9, -3, 3, 9, 0]",Illan Meslier,Stuart Dallas,Pascal Struijk,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Tyler Roberts,Stuart Dallas,Raphinha,Patrick Bamford,0,1-2
2021-04-10 22:00:00,LIV,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Alisson,Andy Robertson,Rhys Williams,Nathaniel Phillips,Neco Williams,Naby Keita,Georginio Wijnaldum,James Milner,Diogo Jota,Roberto Firmino,Mohamed Salah,AVL,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Emiliano Martínez,Matt Targett,Tyrone Mings,Ezri Konsa,Matthew Cash,John McGinn,Douglas Luiz,Jack Grealish,Ross Barkley,Bertrand Traoré,Ollie Watkins,2,2-1
2021-04-11 00:30:00,CRY,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Vicente Guaita,Tyrick Mitchell,Mamadou Sakho,Cheikhou Kouyaté,Joel Ward,Eberechi Eze,James McArthur,James McCarthy,Andros Townsend,Wilfried Zaha,Christian Benteke,CHE,4-3-3-d_R,"[24, 18, 20, 20, 18, 12, 14, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Édouard Mendy,Ben Chilwell,Antonio Rüdiger,Thiago Silva,Reece James,Mason Mount,N'Golo Kanté,Mateo Kovacic,Christian Pulisic,Timo Werner,Hakim Ziyech,0,1-4
2021-04-11 19:00:00,BUR,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Nick Pope,Charlie Taylor,James Tarkowski,Kevin Long,Matthew Lowton,Dwight McNeil,Dale Stephens,Ashley Westwood,Josh Brownhill,Ashley Barnes,Chris Wood,NEW,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Karl Darlow,Jamal Lewis,Fabian Schär,Jamaal Lascelles,Javier Manquillo,Allan Saint-Maximin,Isaac Hayden,Jonjo Shelvey,Jeff Hendrick,Andy Carroll,Callum Wilson,0,1-2
2021-04-11 21:05:00,WHU,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Vladimír Coufal,Declan Rice,Tomás Soucek,Saïd Benrahma,Jesse Lingard,Jarrod Bowen,Michail Antonio,LEI,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Kasper Schmeichel,Timothy Castagne,Jonny Evans,Wesley Fofana,James Justin,Youri Tielemans,Wilfred Ndidi,Harvey Barnes,James Maddison,Marc Albrighton,Jamie Vardy,2,3-2
2021-04-11 23:30:00,TOT,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Hugo Lloris,Sergio Reguilón,Davinson Sánchez,Toby Alderweireld,Serge Aurier,Pierre-Emile Hojbjerg,Moussa Sissoko,Son Heung-Min,Tanguy Ndombele,Steven Bergwijn,Harry Kane,MAN,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",David de Gea,Luke Shaw,Harry Maguire,Victor Lindelöf,Aaron Wan-Bissaka,Fred,Scott McTominay,Marcus Rashford,Bruno Fernandes,Mason Greenwood,Edinson Cavani,0,1-3
2021-04-12 02:00:00,SHU,3-5-2_L,"[-24, -21, -21, -21, -11, -15, -9, -15, -11, -3, -3]","[0, 8, 0, -8, 9, 3, 0, -3, -9, 3, -3]",Aaron Ramsdale,Jack Robinson,Ethan Ampadu,Chris Basham,Enda Stevens,Ben Osborn,Sander Berge,John Lundstram,George Baldock,Oliver Burke,David McGoldrick,ARS,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Bernd Leno,Kieran Tierney,Gabriel1,Rob Holding,Héctor Bellerín,Granit Xhaka,Thomas Partey,Nicolas Pépé,Martin Ødegaard,Bukayo Saka,Alexandre Lacazette,0,0-3
2021-04-13 01:00:00,WBA,4-4-1-1_L,"[-24, -19, -21, -21, -19, -13, -15, -15, -13, -9, -3]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 0, 0]",Sam Johnstone,Conor Townsend,Dara O'Shea,Kyle Bartley,Darnell Furlong,Callum Robinson,Grady Diangana,Conor Gallagher,Matt Phillips,Matheus Pereira1,Mbaye Diagne,SOU,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Alex McCarthy,Ryan Bertrand,Jannik Vestergaard,Jan Bednarek,Kyle Walker-Peters,Theo Walcott,James Ward-Prowse,Oriol Romeu,Stuart Armstrong,Ché Adams,Danny Ings,2,3-0
2021-04-13 03:15:00,BHA,3-4-2-1_L,"[-24, -21, -21, -21, -15, -15, -15, -15, -9, -9, -3]","[0, 8, 0, -8, 9, 3, -3, -9, 3, -3, 0]",Mat Ryan,Dan Burn,Joël Veltman,Adam Webster,Solly March,Yves Bissouma,Ben White,Tariq Lamptey,Leandro Trossard,Adam Lallana,Neal Maupay,EVE,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Mason Holgate,André Gomes,Allan,Richarlison,Gylfi Sigurdsson,Alex Iwobi,Dominic Calvert-Lewin,1,0-0
2021-04-17 03:00:00,EVE,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Mason Holgate,Gylfi Sigurdsson,Allan,Abdoulaye Doucouré,Richarlison,Dominic Calvert-Lewin,Alex Iwobi,TOT,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Hugo Lloris,Sergio Reguilón,Eric Dier,Toby Alderweireld,Matt Doherty,Pierre-Emile Hojbjerg,Moussa Sissoko,Son Heung-Min,Tanguy Ndombele,Lucas Moura,Harry Kane,1,2-2
2021-04-17 19:30:00,NEW,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Karl Darlow,Jamal Lewis,Federico Fernández,Jamaal Lascelles,Javier Manquillo,Allan Saint-Maximin,Isaac Hayden,Jonjo Shelvey,Jeff Hendrick,Callum Wilson,Andy Carroll,WHU,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Vladimír Coufal,Declan Rice,Tomás Soucek,Pablo Fornals,Mark Noble,Jarrod Bowen,Michail Antonio,2,3-2
2021-04-18 03:15:00,WOL,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Rui Patrício,Fernando Marçal,Romain Saïss,Conor Coady,Nélson Semedo,Rúben Neves,João Moutinho,Pedro Neto,Daniel Podence,Adama Traoré2,Raúl Jiménez,SHU,3-5-2_R,"[24, 21, 21, 21, 11, 15, 9, 15, 11, 3, 3]","[0, -8, 0, 8, -9, -3, 0, 3, 9, -3, 3]",Aaron Ramsdale,Enda Stevens,John Egan,Chris Basham,Ben Osborn,John Lundstram,Ethan Ampadu,Sander Berge,George Baldock,Rhian Brewster,Oliver McBurnie,2,1-0
2021-04-18 20:30:00,ARS,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Bernd Leno,Kieran Tierney,Gabriel1,Rob Holding,Héctor Bellerín,Granit Xhaka,Thomas Partey,Gabriel Martinelli,Martin Ødegaard,Bukayo Saka,Alexandre Lacazette,FUL,3-4-2-1_R,"[24, 21, 21, 21, 15, 15, 15, 15, 9, 9, 3]","[0, -8, 0, 8, -9, -3, 3, 9, -3, 3, 0]",Alphonse Areola,Tim Ream,Tosin Adarabioyo,Ola Aina,Antonee Robinson,André-Frank Zambo Anguissa,Tom Cairney,Ivan Cavaleiro,Ademola Lookman,Ruben Loftus-Cheek,Aleksandar Mitrovic,1,1-1
2021-04-18 23:00:00,MAN,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",David de Gea,Luke Shaw,Harry Maguire,Victor Lindelöf,Aaron Wan-Bissaka,Paul Pogba,Fred,Marcus Rashford,Bruno Fernandes,Mason Greenwood,Edinson Cavani,BUR,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Nick Pope,Charlie Taylor,James Tarkowski,Kevin Long,Erik Pieters,Dwight McNeil,Josh Brownhill,Ashley Westwood,Johann Gudmundsson,Chris Wood,Ashley Barnes,2,3-1
2021-04-20 03:00:00,LEE,4-1-4-1_L,"[-24, -19, -21, -21, -19, -15, -7, -9, -9, -7, -3]","[0, 9, 3, -3, -9, 0, 9, 3, -3, -9, 0]",Illan Meslier,Stuart Dallas,Pascal Struijk,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Rodrigo,Mateusz Klich,Raphinha,Patrick Bamford,LIV,4-3-3-d_R,"[24, 18, 20, 20, 18, 12, 14, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Alisson,Andy Robertson,Virgil van Dijk,Joël Matip,Trent Alexander-Arnold,Thiago Alcántara,Fabinho,Jordan Henderson,Sadio Mané,Roberto Firmino,Mohamed Salah,1,1-1
2021-04-21 03:15:00,CHE,3-4-3_L,"[-24, -18, -20, -18, -12, -12, -12, -12, -6, -4, -6]","[0, 8, 0, -8, 9, 3, -3, -9, 8, 0, -8]",Édouard Mendy,Antonio Rüdiger,Kurt Zouma,Andreas Christensen,Marcos Alonso,Mason Mount,Jorginho,Reece James,Christian Pulisic,Kai Havertz,Hakim Ziyech,BHA,3-1-4-2_R,"[24, 21, 21, 21, 15, 9, 9, 9, 9, 3, 3]","[0, -8, 0, 8, 0, -9, -3, 3, 9, -3, 3]",Robert Sánchez,Adam Webster,Lewis Dunk,Ben White,Yves Bissouma,Dan Burn,Alexis Mac Allister,Pascal Groß,Leandro Trossard,Adam Lallana,Neal Maupay,1,0-0
2021-04-22 01:00:00,TOT,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Hugo Lloris,Sergio Reguilón,Eric Dier,Toby Alderweireld,Serge Aurier,Pierre-Emile Hojbjerg,Giovani Lo Celso,Son Heung-Min,Tanguy Ndombele,Gareth Bale,Harry Kane,SOU,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Alex McCarthy,Ryan Bertrand,Jannik Vestergaard,Jan Bednarek,Kyle Walker-Peters,Theo Walcott,James Ward-Prowse,Oriol Romeu,Stuart Armstrong,Ché Adams,Danny Ings,2,2-1
2021-04-22 03:15:00,AVL,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Emiliano Martínez,Matt Targett,Tyrone Mings,Ezri Konsa,Matthew Cash,Douglas Luiz,John McGinn,Jack Grealish,Ross Barkley,Bertrand Traoré,Ollie Watkins,MNC,4-3-3-d_R,"[24, 18, 20, 20, 18, 12, 14, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Ederson,João Cancelo,Aymeric Laporte,Rúben Dias,Kyle Walker,Bernardo Silva,Rodri,Kevin De Bruyne,Raheem Sterling,Gabriel Jesus,Riyad Mahrez,0,1-2
2021-04-23 03:00:00,LEI,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Kasper Schmeichel,James Justin,Jonny Evans,Wesley Fofana,Timothy Castagne,Wilfred Ndidi,Youri Tielemans,Harvey Barnes,James Maddison,Marc Albrighton,Jamie Vardy,WBA,5-4-1_R,"[24, 18, 20, 20, 20, 18, 12, 12, 12, 12, 4]","[0, -10, -5, 0, 5, 10, -9, -3, 3, 9, 0]",Sam Johnstone,Kieran Gibbs,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,2,3-0
2021-04-24 03:00:00,ARS,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Bernd Leno,Kieran Tierney,Gabriel1,Rob Holding,Héctor Bellerín,Granit Xhaka,Thomas Partey,Gabriel Martinelli,Martin Ødegaard,Bukayo Saka,Alexandre Lacazette,EVE,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Mason Holgate,André Gomes,Allan,Richarlison,Gylfi Sigurdsson,James Rodríguez,Dominic Calvert-Lewin,0,0-1
2021-04-24 19:30:00,LIV,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Alisson,Andy Robertson,Virgil van Dijk,Joël Matip,Trent Alexander-Arnold,Thiago Alcántara,Fabinho,Jordan Henderson,Sadio Mané,Roberto Firmino,Mohamed Salah,NEW,5-3-2_R,"[24, 18, 20, 20, 20, 18, 12, 12, 12, 4, 4]","[0, -10, -5, 0, 5, 10, -6, 0, 6, -3, 3]",Martin Dúbravka,Matt Ritchie,Paul Dummett,Ciaran Clark,Federico Fernández,Jacob Murphy,Jonjo Shelvey,Sean Longstaff,Miguel Almirón,Joelinton,Allan Saint-Maximin,1,1-1
2021-04-25 00:30:00,WHU,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Lukasz Fabianski,Aaron Cresswell,Angelo Ogbonna,Issa Diop,Vladimír Coufal,Declan Rice,Tomás Soucek,Saïd Benrahma,Jesse Lingard,Jarrod Bowen,Michail Antonio,CHE,3-4-2-1_R,"[24, 21, 21, 21, 15, 15, 15, 15, 9, 9, 3]","[0, -8, 0, 8, -9, -3, 3, 9, -3, 3, 0]",Édouard Mendy,Antonio Rüdiger,Thiago Silva,Andreas Christensen,Ben Chilwell,Jorginho,N'Golo Kanté,César Azpilicueta,Christian Pulisic,Mason Mount,Timo Werner,0,0-1
2021-04-25 03:00:00,SHU,3-5-2_L,"[-24, -21, -21, -21, -11, -15, -9, -15, -11, -3, -3]","[0, 8, 0, -8, 9, 3, 0, -3, -9, 3, -3]",Aaron Ramsdale,Jack Robinson,Ethan Ampadu,Chris Basham,Enda Stevens,Ben Osborn,Sander Berge,John Lundstram,George Baldock,Oliver Burke,David McGoldrick,BHA,3-1-4-2_R,"[24, 21, 21, 21, 15, 9, 9, 9, 9, 3, 3]","[0, -8, 0, 8, 0, -9, -3, 3, 9, -3, 3]",Robert Sánchez,Adam Webster,Lewis Dunk,Ben White,Yves Bissouma,Dan Burn,Alexis Mac Allister,Pascal Groß,Leandro Trossard,Adam Lallana,Neal Maupay,2,1-0
2021-04-25 19:00:00,WOL,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Rui Patrício,Fernando Marçal,Romain Saïss,Conor Coady,Nélson Semedo,Rúben Neves,João Moutinho,Pedro Neto,Daniel Podence,Adama Traoré2,Raúl Jiménez,BUR,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Nick Pope,Charlie Taylor,James Tarkowski,Kevin Long,Erik Pieters,Dwight McNeil,Josh Brownhill,Ashley Westwood,Johann Gudmundsson,Chris Wood,Ashley Barnes,0,0-4
2021-04-25 21:00:00,LEE,4-1-4-1_L,"[-24, -19, -21, -21, -19, -15, -7, -9, -9, -7, -3]","[0, 9, 3, -3, -9, 0, 9, 3, -3, -9, 0]",Illan Meslier,Stuart Dallas,Pascal Struijk,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Rodrigo,Mateusz Klich,Raphinha,Patrick Bamford,MAN,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",David de Gea,Luke Shaw,Harry Maguire,Victor Lindelöf,Aaron Wan-Bissaka,Fred,Scott McTominay,Marcus Rashford,Bruno Fernandes,Mason Greenwood,Edinson Cavani,1,0-0
2021-04-26 02:00:00,AVL,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Emiliano Martínez,Matt Targett,Tyrone Mings,Ezri Konsa,Matthew Cash,Douglas Luiz,John McGinn,Jack Grealish,Ross Barkley,Bertrand Traoré,Ollie Watkins,WBA,5-4-1_R,"[24, 18, 20, 20, 20, 18, 12, 12, 12, 12, 4]","[0, -10, -5, 0, 5, 10, -9, -3, 3, 9, 0]",Sam Johnstone,Kieran Gibbs,Dara O'Shea,Kyle Bartley,Semi Ajayi,Darnell Furlong,Grady Diangana,Romaine Sawyers,Jake Livermore,Matheus Pereira1,Callum Robinson,1,2-2
2021-04-27 03:00:00,LEI,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Kasper Schmeichel,James Justin,Jonny Evans,Wesley Fofana,Timothy Castagne,Wilfred Ndidi,Youri Tielemans,Harvey Barnes,James Maddison,Marc Albrighton,Jamie Vardy,CRY,4-4-2_R,"[24, 18, 20, 20, 18, 10, 12, 12, 10, 4, 4]","[0, -9, -3, 3, 9, -9, -3, 3, 9, -3, 3]",Vicente Guaita,Tyrick Mitchell,Scott Dann,Cheikhou Kouyaté,Joel Ward,Jeff Schlupp,James McArthur,Luka Milivojevic,Andros Townsend,Wilfried Zaha,Christian Benteke,2,2-1
2021-05-01 03:00:00,SOU,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Alex McCarthy,Ryan Bertrand,Jannik Vestergaard,Jan Bednarek,Kyle Walker-Peters,Nathan Redmond,Oriol Romeu,James Ward-Prowse,Stuart Armstrong,Ché Adams,Danny Ings,LEI,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Kasper Schmeichel,Timothy Castagne,Jonny Evans,Wesley Fofana,James Justin,Youri Tielemans,Wilfred Ndidi,Harvey Barnes,James Maddison,Marc Albrighton,Jamie Vardy,1,1-1
2021-05-01 19:30:00,CRY,4-4-2_L,"[-24, -18, -20, -20, -18, -10, -12, -12, -10, -4, -4]","[0, 9, 3, -3, -9, 9, 3, -3, -9, 3, -3]",Vicente Guaita,Tyrick Mitchell,Mamadou Sakho,Cheikhou Kouyaté,Joel Ward,Eberechi Eze,James McArthur,James McCarthy,Andros Townsend,Wilfried Zaha,Christian Benteke,MNC,4-3-3-d_R,"[24, 18, 20, 20, 18, 12, 14, 12, 6, 4, 6]","[0, -9, -3, 3, 9, -3, 0, 3, -8, 0, 8]",Ederson,João Cancelo,Aymeric Laporte,Rúben Dias,Kyle Walker,Bernardo Silva,Rodri,Kevin De Bruyne,Raheem Sterling,Gabriel Jesus,Riyad Mahrez,0,0-2
2021-05-01 22:00:00,BHA,3-4-2-1_L,"[-24, -21, -21, -21, -15, -15, -15, -15, -9, -9, -3]","[0, 8, 0, -8, 9, 3, -3, -9, 3, -3, 0]",Mat Ryan,Dan Burn,Joël Veltman,Adam Webster,Solly March,Yves Bissouma,Ben White,Tariq Lamptey,Leandro Trossard,Adam Lallana,Neal Maupay,LEE,4-1-4-1_R,"[24, 19, 21, 21, 19, 15, -7, 9, 9, 7, 3]","[0, -9, -3, 3, 9, 0, -9, -3, 3, 9, 0]",Illan Meslier,Stuart Dallas,Pascal Struijk,Robin Koch,Luke Ayling,Kalvin Phillips,Jack Harrison,Tyler Roberts,Stuart Dallas,Raphinha,Patrick Bamford,2,2-0
2021-05-02 00:30:00,CHE,3-4-3_L,"[-24, -18, -20, -18, -12, -12, -12, -12, -6, -4, -6]","[0, 8, 0, -8, 9, 3, -3, -9, 8, 0, -8]",Édouard Mendy,Antonio Rüdiger,Kurt Zouma,Andreas Christensen,Ben Chilwell,Mason Mount,Jorginho,Reece James,Christian Pulisic,Kai Havertz,Hakim Ziyech,FUL,3-4-2-1_R,"[24, 21, 21, 21, 15, 15, 15, 15, 9, 9, 3]","[0, -8, 0, 8, -9, -3, 3, 9, -3, 3, 0]",Alphonse Areola,Tim Ream,Tosin Adarabioyo,Ola Aina,Antonee Robinson,André-Frank Zambo Anguissa,Tom Cairney,Ivan Cavaleiro,Ademola Lookman,Ruben Loftus-Cheek,Aleksandar Mitrovic,2,2-0
2021-05-02 03:00:00,EVE,4-3-3-d_L,"[-24, -18, -20, -20, -18, -12, -14, -12, -6, -4, -6]","[0, 9, 3, -3, -9, 3, 0, -3, 8, 0, -8]",Jordan Pickford,Lucas Digne,Michael Keane,Yerry Mina,Mason Holgate,Gylfi Sigurdsson,Allan,André Gomes,Richarlison,Dominic Calvert-Lewin,Alex Iwobi,AVL,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Emiliano Martínez,Matt Targett,Tyrone Mings,Ezri Konsa,Matthew Cash,John McGinn,Douglas Luiz,Jack Grealish,Ross Barkley,Bertrand Traoré,Ollie Watkins,0,1-2
2021-05-02 21:00:00,NEW,5-3-2_L,"[-24, -18, -20, -20, -20, -18, -12, -12, -12, -4, -4]","[0, 10, 5, 0, -5, -10, 6, 0, -6, 3, -3]",Martin Dúbravka,Matt Ritchie,Paul Dummett,Ciaran Clark,Federico Fernández,Jacob Murphy,Jonjo Shelvey,Sean Longstaff,Miguel Almirón,Callum Wilson,Allan Saint-Maximin,ARS,4-2-3-1_R,"[24, 19, 21, 21, 19, 15, 15, 11, 9, 11, 3]","[0, -9, -3, 3, 9, -3, 3, -9, 0, 9, 0]",Bernd Leno,Kieran Tierney,Gabriel1,Rob Holding,Héctor Bellerín,Granit Xhaka,Thomas Partey,Nicolas Pépé,Martin Ødegaard,Bukayo Saka,Alexandre Lacazette,0,0-2
2021-05-03 02:15:00,TOT,4-2-3-1_L,"[-24, -19, -21, -21, -19, -15, -15, -11, -9, -11, -3]","[0, 9, 3, -3, -9, 3, -3, 9, 0, -9, 0]",Hugo Lloris,Sergio Reguilón,Eric Dier,Toby Alderweireld,Serge Aurier,Pierre-Emile Hojbjerg,Giovani Lo Celso,Son Heung-Min,Tanguy Ndombele,Gareth Bale,Harry Kane,SHU,3-5-2_R,"[24, 21, 21, 21, 11, 15, 9, 15, 11, 3, 3]","[0, -8, 0, 8, -9, -3, 0, 3, 9, -3, 3]",Aaron Ramsdale,Enda Stevens,John Egan,Chris Basham,Ben Osborn,John Lundstram,Ethan Ampadu,Sander Berge,George Baldock,Rhian Brewster,Oliver McBurnie,2,4-0
